name,author,date,stars,title,helpful_yes,helpful_no,text;;;
"Salted Caramel Core,drewmar,2017-09-13,3,Blonde brownies??,3,1,""Couldn't find any in my pint. But the rest is fabulous, don't change a thing!""";;;
"Salted Caramel Core,Tornado7,2018-03-29,1,So disappointed!,1,0,""I had a major craving for ice cream so of course I had to go to the store for some Ben and Jerry's! I was really excited about this flavor, but after a few bites I was gagging. It was too salty and there were barely any brownie chunks :/ I'm really sad this ice cream is going to go waste, but I'm not happy with my purchase at all.""";;;
Salted Caramel Core,Sunrise,2017-07-14,2,Blondie Crumbs,1,0,Just bought this last night and like some of the other reviews there were only a few flecks of blondie. Mine was nothing like the photos. And so the combination of just ice cream and such salty caramel was disappointing and unbalanced. I don't know if the core extended to the bottom since I didn't eat enough to find out.;;;
"Salted Caramel Core,JandM,2018-05-06,2,So Disappointed :(,1,1,""I never thought I would not like a Ben & Jerry's flavor, but it's happened :( When my store didn't have my favorite flavor, I thought I would try the Salted Caramel Core - the description sounded great. Unfortunately, the caramel was *way* too salty - I ended up scooping it all out. The vanilla ice cream was good, but the brownie pieces had no flavor. I've never been disappointed by Ben & Jerry's before, but I guess there's a first for everything :(""";;;
"Salted Caramel Core,ASaltyFan,2018-07-07,2,They sure meant it when it said salted,1,0,""The salted caramel core tastes like someone went a little too salt happy. There was just too much core in ratio with the ice cream an in addition to the bad core to ice cream ratio, the core was just too salty to handle. Please fix the core because the ice cream itself with the blonde brownie bits are delicious.""";;;
"Salted Caramel Core,elephantsforever3,2019-02-14,1,""Horrible pint, bland brownies"",2,2,""I was excited for this ice cream because I love blondies and caramel, but it was the one flavor I've tried that I strongly dislike. The core didn't go deep at all and it was SO salty that it made me feel kind of sick. The brownies were dry and sparce and I barely could taste them. The base was alright, I guess. Really dissapointed. I think this flavor needs to be fixed or just stopped being made.""";;;
"Salted Caramel Core,Rudy58,2019-08-12,5,Best B&J Pint ever!,0,1,""I've been hooked on this flavor for more than 2 weeks now. I wish I'd have known about it sooner lol! The Salted Caramel Core is very good and the Blonde Brownies make this product over the top. I do have one complaint though. I buy maybe 4 pints or more a week and everytime I open one and start eating them they are all different as far as how many brownie peices there are or the caramel. Sometimes there's a ton of salted caramel at the top which can be overwhelming and then it's gone half way down. Other times it's normal until you get about halfway and there nothing but the sweet cream ice cream with no caramel or brownies. It's always different, however I'm still in love with this flavor and I highly recommend it! Please B&J see if y'all can get them all the same lol""";;;
"Salted Caramel Core,atik,2017-11-16,3,Too salty,1,0,""The blondie mix ins and sweet cream ice cream were nice, but I really wasn't a fan of the caramel core, because it was far too salty. You've got multiple reviews saying that it's too salty, please don't skim over those reviews. Please consider tweaking the recipe on this one so it's less salty.""";;;
"Salted Caramel Core,jessiraes,2018-06-07,2,Good in theory...,1,0,""I usually love salted caramel foods, and I adore Ben & Jerry's decadent ice creams. The ice cream was excellent, the brownie pieces were yummy, but the caramel tasted way too salty! The salt is supposed to compliment the caramel, not overpower it. I'm pretty disappointed.""";;;
"Salted Caramel Core,Linda895,2018-04-04,3,Too salty,1,0,""I love anything caramel. I was super excited when I saw the whole core was salted caramel. However it was way too salty, I even tried mixing it with the sweet cream ice cream and it was still too salty. It could also use more of the brownie, which was certainly delicious.""";;;
